Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Average Score,Median Score,Average Move Count,Median Moves
corner-rnd_t(d=3 t=1),10000,4.229,16.913,100.0,100.0,100.0,100.0,99.9,96.37,71.25,18.31,0.1,0.0,0.0,0.0,0.0,0.0,6831.5216,6612,456.6759,450
corner-rnd_t(d=3 t=2),2000,6.668,26.66,100.0,100.0,100.0,100.0,99.95,98.2,82.75,38.6,3.05,0.0,0.0,0.0,0.0,0.0,9430.538,7456,591.2725,515
corner-rnd_t(d=3 t=3),2000,24.502,97.933,100.0,100.0,100.0,100.0,99.95,99.2,88.45,52.3,9.0,0.05,0.0,0.0,0.0,0.0,11759.93,11490,707.477,693
corner-rnd_t(d=3 t=4),500,17.083,67.995,100.0,100.0,100.0,100.0,100.0,99.6,92.0,63.6,19.2,0.6,0.0,0.0,0.0,0.0,14711.144,13630,848.576,811
corner-rnd_t(d=3 t=5),500,36.673,145.691,100.0,100.0,100.0,100.0,100.0,99.6,93.6,69.0,29.0,1.6,0.0,0.0,0.0,0.0,17278.056,15108,969.24,891
corner-rnd_t(d=3 t=6),500,71.694,285.481,100.0,100.0,100.0,100.0,100.0,99.8,96.8,76.0,37.8,4.8,0.0,0.0,0.0,0.0,20617.104,16680,1123.28,992
corner-rnd_t(d=3 t=7),500,124.686,498.118,100.0,100.0,100.0,100.0,100.0,99.6,97.4,81.4,49.2,7.6,0.0,0.0,0.0,0.0,23550.408,21376,1250.436,1126
corner-rnd_t(d=3 t=8),500,194.715,776.969,100.0,100.0,100.0,100.0,100.0,99.6,97.6,84.6,50.0,11.0,0.0,0.0,0.0,0.0,25182.88,23262,1322.634,1241
corner-rnd_t(d=3 t=9),500,308.258,1231.07,100.0,100.0,100.0,100.0,100.0,99.6,98.4,87.8,59.8,15.6,0.2,0.0,0.0,0.0,28948.072,27298,1489.562,1430.5
corner-rnd_t(d=3 t=10),500,444.368,1776.78,100.0,100.0,100.0,100.0,100.0,100.0,99.0,91.4,63.6,18.4,0.2,0.0,0.0,0.0,30858.008,27766,1573.9,1460
corner-rnd_t(d=4 t=1),10000,17.4,69.589,100.0,100.0,100.0,100.0,99.98,98.58,83.9,34.14,0.9,0.0,0.0,0.0,0.0,0.0,8381.5116,7120,533.8503,488
corner-rnd_t(d=4 t=2),500,16.246,64.712,100.0,100.0,100.0,100.0,100.0,100.0,95.6,70.2,18.0,0.0,0.0,0.0,0.0,0.0,14222.472,14164,818.9,816.5
corner-rnd_t(d=4 t=3),500,92.169,367.203,100.0,100.0,100.0,100.0,100.0,99.8,98.0,81.8,35.4,1.4,0.0,0.0,0.0,0.0,18289.208,15946,1005.63,933
corner-rnd_t(d=4 t=4),500,339.295,1356.09,100.0,100.0,100.0,100.0,100.0,99.8,97.2,87.6,48.8,6.0,0.0,0.0,0.0,0.0,22613.888,18222,1198.976,1051
corner-rnd_t(d=4 t=5),500,927.75,3704.22,100.0,100.0,100.0,100.0,100.0,100.0,99.2,91.8,59.8,11.6,0.0,0.0,0.0,0.0,26950.752,26876,1396.678,1390.5
corner-rnd_t(d=4 t=6),500,2207.77,8791.3,100.0,100.0,100.0,100.0,100.0,100.0,99.2,94.0,69.2,23.0,0.4,0.0,0.0,0.0,32671.392,30574,1637.92,1542
corner-rnd_t(d=4 t=7),500,4508.6,17988.3,100.0,100.0,100.0,100.0,100.0,100.0,99.0,95.4,73.8,31.2,1.0,0.0,0.0,0.0,37515.0,32952,1842.406,1699
corner-rnd_t(d=4 t=8),500,8595.48,34225.3,100.0,100.0,100.0,100.0,100.0,100.0,99.6,98.4,85.6,39.0,1.4,0.0,0.0,0.0,42953.712,36238,2079.566,1881
